Drug,ATC Codes
Tamsulosin,"G04CA52, G04CA02, G01AE10, G04CA54, G04CA53"
Porfimer sodium,L01XD01
Sufentanil,N01AH03
Lamivudine,"J05AR27, J05AR02, J05AR25, J05AR11, J05AR07, J05AR01, J05AR13, J05AR12, J05AR24, J05AR04, J05AR16, J05AR05, J05AF05"
Ibandronate,"M05BA06, M05BB09"
Diethylcarbamazine,P02CB02
Flurbiprofen,"M02AA19, M01AE09, R02AX01, S01BC04"
Oxacillin,"J01CR50, J01CF04"
Apomorphine,"G04BE07, N04BC07"
Paroxetine,N06AB05
Nedocromil,"R03BC03, R01AC07, S01GX04"
Norethisterone,"H01CC53, H01CC54, G03AA05, G03DC02, G03AB04, G03AC01, G03FA01, G03FB05"
Adefovir dipivoxil,J05AF08
Azatadine,R06AX09
Clodronic acid,M05BA02
Procaine,"N01BA52, C05AD05, S01HA05, N01BA02"
Lisinopril,"C09BA03, C10BX07, C09AA03, C09BB03"
Methoxamine,C01CA10
Imiquimod,D06BB10
Homatropine methylbromide,"A03CB04, A03BB06"
Trimipramine,N06AA06
Nitroglycerin,"C01DA02, C01DA52, C05AE01"
Rocuronium,M03AC09
Thiabendazole,"D01AC06, P02CA02"
Nateglinide,A10BX03
Atracurium besylate,No ATC Code
Pralidoxime,V03AB04
Risperidone,N05AX08
Naftifine,D01AE22
Esomeprazole,"A02BD06, A02BC05, M01AE52"
Meclizine,"R06AE55, R06AE05"
Pentamidine,P01CX01
Hetacillin,"J01CA18, J01CR50"
Riluzole,N07XX02
Hydrocortisone,"S01CB03, A01AC03, S01BA02, S01CA03, D07AA02, S01BB01, D07XA01, D07BA04, S02CA03, A07EA02, S02BA01, R01AD60, H02AB09, D07CA01, S03CA04, C05AA01"
Mannitol,"B05CX04, A06AD16, R05CB16, B05BC01, V04CX04"
Gadobenic acid,V08CA08
Zileuton,No ATC Code
Modafinil,N06BA07
Deferoxamine,V03AC01
Scopolamine,"N05CM05, S01FA02, A04AD01, A04AD51"
Carbinoxamine,R06AA08
Etodolac,M01AB08
Prilocaine,"N01BB54, N01BB04"
Epinastine,"S01GX10, R06AX24"
Tranylcypromine,N06AF04
Isoflurane,N01AB06
Ethotoin,N03AB01
Tretinoin,"L01XF01, D10AD51, D10AD01"
Hexachlorophene,D08AE01
Dolasetron,A04AA04
Clopidogrel,B01AC04
Tetracycline,"S02AA08, A02BD02, A01AB13, J01AA07, S01AA09, J01AA20, J01RA08, S03AA02, D06AA04, A02BD08"
Meropenem,"J01DH02, J01DH52"
Potassium chloride,"A12BA51, B05XA01, A12BA01"
Irinotecan,L01CE02
Methimazole,"H03BB52, H03BB02"
Mometasone,"R03AL12, R01AD59, R03AK14"
Metyrosine,C02KB01
Clavulanic acid,No ATC Code
Benzquinamide,No ATC Code
Olopatadine,"S01GX09, R01AC08"
Hydrocortamate,No ATC Code
Alprostadil,"C01EA01, G04BE01"
Clidinium,A03CA02
Malathion,P03AX03
Etoposide,L01CB01
Hydroflumethiazide,"C03AA02, G01AE10, C03AH02, C03AB02"
Tirofiban,B01AC17
Oxcarbazepine,N03AF02
Propiomazine,N05CM06
Roxithromycin,J01FA06
Nalidixic acid,J01MB02
Phenelzine,N06AF03
Propantheline,"A03AB05, A03CA34"
Estradiol,"G03FA16, G03FA06, G03FA09, G03FA14, G03CA53, G03FA12, G03FB12, G03FB03, G03FA15, G03FB02, G03FB10, G03FA10, G03EA01, G03FA04, G03FB11, G03FA01, G03FB09, G03FB08, G03EA03, G03AA14, G03AB08, G03FB01, G03FA03, H01CC54, G03FA08, G03FB06, G03EA02, G03AA17, G03FA11, G03FB07, G03FA17, G03FA07, G03FA02, G03HB01, H01CC53, G03FB04, G03FA13, G02BB01, G03CA03, G03FA05, G03FB05"
Mefenamic acid,M01AG01
Cryptenamine,No ATC Code
Marimastat,No ATC Code
Acyclovir,"J05AB01, D06BB03, S01AD03, D06BB53"
Naproxen,"G02CC02, M02AA12, M01AE56, M01AE52, M01AE02"
Gadopentetic acid,V08CA01
Perindopril,"C09BX01, C09BA04, C10BX11, C10BX13, C09AA04, C09BX02, C10BX12, C09BB04, C10BX15, C10BX14, C09BX04"
Uracil mustard,L01AD08
Tripelennamine,"R06AC04, D04AA04"
Haloprogin,D01AE11
Primidone,"N05CB01, N03AA03"
Sulfasalazine,"G01AE10, A07EC01"
Candesartan cilexetil,No ATC Code
Tolazoline,"M02AX02, C04AB02"
Gentamicin,"S01AA11, S02AA14, D06AX07, S03AA06, J01GB03"
Tazarotene,"D05AX55, D05AX05"
Fenoldopam,C01CA19
Halazepam,N05BA13
Alfentanil,N01AH02
Colistin,"J01XB01, A07AA10"
Dicyclomine,A03AA07
Minaprine,N06AX07
Pentoxifylline,"C04AD03, R03DA20"
Proparacaine,S01HA04
Indapamide,"C03BA11, C09BX01, G01AE10, C10BX13"
Tropicamide,"S01FA06, S01FA56"
Biperiden,N04AA02
Ribavirin,J05AP01
Phenylbutazone,"M01BA01, M01AA01, M02AA01"
Fentanyl,"N01AH01, N02AB03, N01AH51"
Meloxicam,"N01BB59, M01AC56, M01AC06"
Sodium lauryl sulfate,No ATC Code
Orciprenaline,"R03AB03, R03CB03, R03CB53"
Rosoxacin,J01MB01
Propofol,N01AX10
Acetazolamide,"G01AE10, S01EC01"
Tadalafil,"G04BE08, C02KX52, G04CB51, G04CA54, C02KX54"
Carprofen,No ATC Code
Disulfiram,"P03AA04, P03AA54, N07BB01"
Ethynodiol diacetate,No ATC Code
Enprofylline,No ATC Code
Levomenthol,No ATC Code
Natamycin,"G01AA02, D01AA02, A01AB10, S01AA10, A07AA03"
Cinoxacin,J01MB06
Fosfomycin,"S02AA17, J01XX01"
Diazepam,N05BA01
Phenmetrazine,No ATC Code
Trifluoperazine,N05AB06
Phensuximide,N03AD02
Cefaclor,J01DC04
Mifepristone,"G03XB01, G03XB51"
Brompheniramine,"R06AB51, R06AB01"
Loperamide,"A07DA53, A07DA03"
Progabide,N03AG05
Clocortolone,D07AB21
Tolazamide,"A10BB05, G01AE10"
Hydroxypropyl cellulose,No ATC Code
Dobutamine,C01CA07
Oxazepam,N05BA04
Donepezil,"N06DA52, N06DA53, N06DA02"
Nalbuphine,N02AF02
Clofazimine,"J04BA01, J04BA51"
Flurandrenolide,"D07CC03, D07AC07"
Cysteamine,"A16AA04, S01XA21"
Levamisole,P02CE01
Methylphenobarbital,"N03AA01, N05CB01"
Perphenazine,N05AB03
Dacarbazine,L01AX04
Pseudoephedrine,"R01BA52, R01BA02"
Temozolomide,L01AX03
Levorphanol,No ATC Code
Aminolevulinic acid,L01XD04
Chlorphenesin,D01AE07
Terbinafine,"D01AE15, D01BA02"
Drostanolone,No ATC Code
Penicillamine,M01CC01
Prednisolone,"D07AA03, S01CA02, D07XA02, A01AC54, R01AD02, S01BB02, S01CB02, R01AD52, V03AB05, S03BA02, D07BA01, D07CA03, S01BA04, S02BA03, A01AC04, A07EA01, H02AB06, S02CA01, C05AA04, S03CA02"
Diflunisal,N02BA11
Vardenafil,G04BE09
Ranitidine,"A02BA07, A02BA02"
Tacrolimus,"D11AH01, L04AD02"
Benzphetamine,No ATC Code
Alprenolol,C07AA01
Ritodrine,G02CA01
Benzonatate,R05DB01
Dorzolamide,"G01AE10, S01EC03"
Suprofen,M01AE07
Terbutaline,"R03CC53, R03CC03, R03AC03"
Conivaptan,C03XA02
Loteprednol etabonate,No ATC Code
Guaifenesin,R05CA03
Flupentixol,N05AF01
Eprosartan,"C09DA02, C09CA02"
Sirolimus,"L01EG04, S01XA23, L04AA10"
Chlorhexidine,"R02AA05, S03AA04, D08AC52, D08AC02, S01AX09, D09AA12, B05CA02, A01AB03, S02AA09"
Emtricitabine,"J05AR19, J05AR08, J05AR17, J05AF09, J05AR09, J05AR20, J05AR06, J05AR03, J05AR22, J05AR18"
Chlorothiazide,"C03AB04, G01AE10, C03AA04, C03AH01"
Quinapril,"C09AA06, C09BA06"
Clomifene,G03GB02
Isosorbide dinitrate,"C01DA08, C01DA58, C05AE02"
Risedronic acid,"M05BB07, M05BB02, M05BB04, M05BA07"
Pemirolast,No ATC Code
Omapatrilat,No ATC Code
Bumetanide,"G01AE10, C03CB02, C03EB02, C03CA02"
Mechlorethamine,L01AA05
Granisetron,A04AA02
Dienestrol,"G03CB01, G03CC02"
Sulfapyridine,"G01AE10, J01EB04"
Oxybuprocaine,"S01HA02, D04AB03"
Iron Dextran,No ATC Code
Testolactone,No ATC Code
Benzylpenicilloyl polylysine,J01CR50
Rimexolone,"H02AB12, S01BA13"
Triazolam,N05CD05
Ethanol,"V03AB16, V03AZ01, D08AX08"
Remifentanil,N01AH06
Didanosine,J05AF02
Bitolterol,R03AC17
Methdilazine,R06AD04
Etacrynic acid,C03CC01
Ondansetron,A04AA01
Bimatoprost,S01EE03
Tiagabine,N03AG06
Cocaine,"S01HA01, S02DA02, N01BC01, R02AD03"
Quinidine,"C01BA01, C01BA51, C01BA71"
Zonisamide,"N03AX15, G01AE10"
Paricalcitol,H05BX02
Tinidazole,"J01RA11, J01RA13, A02BD09, J01XD02, G01AF20, G01AF21, P01AB02"
Repaglinide,"A10BD14, A10BX02"
Anileridine,N01AH05
Phenformin,"A10BA01, A10BD01"
Amantadine,N04BB01
Metronidazole,"A02BD11, P01AB52, D06BX01, A02BD03, J01XD01, J01RA04, A02BD01, J01RA14, A02BD15, J01RA03, A01AB17, G01AF20, J01RA10, A02BD02, A02BD13, G01AF01, P01AB51, A02BD08, P01AB01"
Dinoprostone,G02AD02
Almotriptan,N02CC05
Spectinomycin,J01XX04
Ketotifen,"S01GX08, R06AX17"
Buprenorphine,"N07BC01, N07BC51, N02AE01"
Levosimendan,C01CX08
Ceforanide,J01DC11
Cyclobenzaprine,M03BX08
Phenoxybenzamine,C04AX02
Etretinate,D05BB01
Famotidine,"A02BA03, A02BA53"
Azacitidine,L01BC07
Misoprostol,"G02AD06, A02BB01, M01AE56"
Colesevelam,C10AC04
Metacycline,"J01AA05, J01AA20"
Tipranavir,J05AE09
Mesoridazine,N05AC03
Maprotiline,N06AA21
Oxymetazoline,"S01GA04, D11AX27, R01AB07, R01AA05"
Salicylic acid,"D01AE12, N02BA04, N02BA12, S01BC08"
Diethylpropion,A08AA03
Salmeterol,"R03AK06, R03AK12, R03AC12"
Meclofenamic acid,"M01AG04, M02AA18"
Methantheline,A03AB07
Hexafluronium,M03AC05
Cycrimine,No ATC Code
Zalcitabine,J05AF03
Demecarium,S01EB04
Acetylsalicylic acid,"B01AC06, C07FX04, C10BX04, M01BA03, N02BA71, C10BX02, B01AC56, N02AJ07, N02AJ02, N02BA01, C10BX05, N02BA51, A01AD05, C10BX01, C07FX03, N02AJ18, C10BX12, C10BX08, C10BX06, C07FX02"
Phenprocoumon,B01AA04
Fulvestrant,L02BA03
Mezlocillin,"J01CR50, J01CA10"
Felbamate,N03AX10
Fexofenadine,R06AX26
Isoniazid,"J04AM04, J04AM01, J04AM03, J04AM02, J04AC01, J04AM06, J04AM05, J04AM07, J04AM08, J04AC51"
Naratriptan,N02CC02
Rizatriptan,N02CC04
Dirithromycin,J01FA13
Netilmicin,"S01AA23, J01GB07"
Hydrocodone,R05DA03
Norgestimate,"G03AA11, G03FA13, G03AB09"
Carboplatin,L01XA02
Methylprednisolone,"D07AA01, D10AA02, H02AB04, H02BX01, D07CA02, S03CA07, S01CA08"
Pindolol,"C07CA03, C07AA03"
Mepivacaine,"N01BB53, N01BB03"
Zaleplon,N05CF03
Bromfenac,S01BC11
Apraclonidine,S01EA03
Ethiodized oil,V08AD01
Telmisartan,"C09DB04, C09CA07, C09DX08, C09DA07"
Desloratadine,R06AX27
Methyldopa,C02AB01
Alosetron,A03AE01
Dactinomycin,L01DA01
Selenium Sulfide,D01AE13
Azelastine,"R06AX19, S01GX07, R01AC03"
Ezetimibe,"C10BA02, C10BA11, C10BA10, C10BA05, C10BA12, C10AX09, C10BA06"
Edetic acid,No ATC Code
Dipyridamole,B01AC07
Telithromycin,J01FA15
Ethinylestradiol,"G03AA15, G03AA11, L02AA03, G03AA12, G03AA16, G03AB02, G03CA01, G03AA03, G03AA10, G03AB04, G03AB01, G03AB07, G03AA13, G03AA06, G03AA08, G03AA02, G03AA04, G03AA09, G03AB09, G03AA07, G03AB03, G03AA05, G03AB05, G03AB06, G03AA01"
Lomefloxacin,"S01AE04, J01MA07"
Cyclopentolate,"S01FA54, S01FA04"
Ramelteon,N05CH02
Physostigmine,"S01EB05, V03AB19"
Isotretinoin,"D10AD04, D10AD54, D10BA01"
Formoterol,"R03AL09, R03AL05, R03AK09, R03AL10, R03CC15, R03AL11, R03AL07, R03AK08, R03AC13, R03AK07, R03AK11"
Nandrolone phenpropionate,No ATC Code
Dimenhydrinate,"R06AA11, R06AA61"
Glycopyrronium,"R03AL09, R03AL04, R03BB06, D11AA01, A03AB02, R03AL11, R03AL07, A03CA05, R03AL12"
Cytarabine,"L01BC01, L01XY01"
Dopamine,C01CA04
Rivastigmine,N06DA03
Exemestane,L02BG06
Oxaprozin,M01AE12
Methyl aminolevulinate,L01XD03
Azathioprine,L04AX01
Neomycin,"A07AA51, R02AB01, J01GB05, D06AX04, S03AA01, A01AB08, A07AA01, S02AA07, B05CA09, S01AA03"
Auranofin,M01CB03
Gabapentin,N02BF01
Doxorubicin,L01DB01
Frovatriptan,N02CC07
Hydrochlorothiazide,"C09BX03, C03AX01, C03AB03, C09DX03, C03EA01, C09DX06, C09XA52, G01AE10, C09DX01, C03AA03, C09XA54, C09DX08, C09DX07"
Cyclacillin,J01CR50
Salbutamol,"R03AK04, R03AC02, R03CC02, R03AK13, R03AL02"
Levobupivacaine,N01BB10
Cromoglicic acid,"R03AK05, R03AK04, R03BC01, R01AC51, S01GX51, R01AC01, S01GX01, D11AH03, A07EB01"
Ganciclovir,"J05AB06, S01AD09"
Hydroxyurea,L01XX05
Letrozole,L02BG04
Tioconazole,"G01AF20, D01AC07, G01AF08"
Busulfan,L01AB01
Ketoprofen,"M01AE03, M02AA10, M01AE53"
Edrophonium,V04CX07
Metyrapone,V04CD01
Cinacalcet,H05BX01
Clobetasol propionate,No ATC Code
Balsalazide,A07EC04
Sulfamethoxazole,"J04AM08, J01EE01, G01AE10, J01EC01"
Glyburide,A10BB01
Minocycline,"D10AF07, J01AA08, J01AA20, A01AB23"
Guanfacine,C02AC02
Bethanechol,N07AB02
Isosorbide mononitrate,C01DA14
Trichlormethiazide,"G01AE10, C03AA06, C03EA02, C03AB06"
Phylloquinone,B02BA01
Felodipine,"C07FB02, C08CA02, C09BB05"
Mycophenolic acid,L04AA06
Amlexanox,"A01AD07, R03DX01"
Ketoconazole,"G01AF11, G01AF20, J02AB02, H02CA03, D01AC08"
Methoxyflurane,N02BG09
Irbesartan,"C09CA04, C09DB05, C09DA04, C09DX07"
Topotecan,L01CE01
Ethinamate,No ATC Code
Probenecid,"M04AB01, G01AE10"
Mercaptopurine,"L01BB02, R03DA20"
Cerulenin,No ATC Code
Procainamide,C01BA02
Tolterodine,G04BD07
Selegiline,N04BD01
Carphenazine,No ATC Code
Fenofibrate,"C10BA03, C10BA12, C10AB05, C10BA09, C10BA04"
Thalidomide,L04AX02
Melphalan,L01AA03
Memantine,"N06DA52, N06DX01, N06DA53"
Gatifloxacin,"S01AE06, J01MA16"
Rifampicin,"J04BA50, J04AM02, J04BA51, J04AB02, J04AM06, J04AM05, J04AM07"
Lubiprostone,A06AX03
Fluocinonide,"C05AA11, D07AC08, D07CC05"
Abacavir,"J05AR13, J05AR02, J05AR04, J05AF06"
Ergoloid mesylate,No ATC Code
Ibuprofen,"G02CC01, C01EB16, M01AE01, M02AA13, R02AX02, N02AJ08, N02AJ19, M01AE51"
Novobiocin,No ATC Code
Benzylpenicillin,"J01CR50, J01CE01, S01AA14, J01CE08"
Nitrendipine,"C08CA08, C09BB06"
Mimosine,No ATC Code
Tocainide,C01BB03
Echothiophate,S01EB03
Praziquantel,P02BA01
Norfloxacin,"J01RA14, J01RA13, S01AE02, J01MA06"
Amoxicillin,"A02BD12, J01CR50, A02BD14, A02BD04, A02BD07, A02BD13, A02BD10, A02BD05, A02BD03, A02BD01, A02BD15, A02BD06, J01CA04, A02BD16, A02BD11"
Azlocillin,"J01CR50, J01CA09"
Oxybutynin,G04BD04
Acetophenazine,N05AB07
Isoprenaline,"C01CA02, R03AK02, R03AB02, R03CB01, R03CB51"
Melatonin,N05CH01
Cefditoren,J01DD16
Glipizide,A10BB07
Clonazepam,N03AE01
Promethazine,"R06AD52, D04AA10, V03AB05, R06AD02"
Dihydrotachysterol,A11CC02
Mequitazine,R06AD07
Atazanavir,"J05AE08, J05AR15, J05AR23"
Fludarabine,L01BB05
Perhexiline,C08EX02
Diphenhydramine,"D04AA32, R06AA02, D04AA33, R06AA52"
Atorvastatin,"C10BA05, C10BX11, C10BX12, C10BX19, C10BX18, C10AA05, C10BX15, C10BX03, C10BX08, C10BX06"
Etidronic acid,"M05BB01, M05BA01"
Deslanoside,C01AA07
Tegaserod,A06AX06
Vigabatrin,N03AG04
Diphenoxylate,A07DA01
Streptomycin,"J04AM01, J01GA01, A07AA54, A07AA04"
Orlistat,A08AB01
Emedastine,S01GX06
Pilocarpine,"N07AX01, S01EB01, S01EB51"
Benzocaine,"C05AD03, R02AD01, D04AB04, N01BA05"
Primaquine,P01BA03
Iloprost,B01AC11
Deserpidine,"C02LA03, C02AA05"
Pentolinium,No ATC Code
Butenafine,D01AE23
Ouabain,C01AC01
Dimethyl sulfoxide,"M02AX03, G04BX13"
Hesperetin,No ATC Code
Fluvastatin,C10AA04
Oxamniquine,P02BA02
Leflunomide,L04AA13
Rosuvastatin,"C10BX10, C10BX05, C10BX07, C10AA07, A10BH52, G01AE10, C10BX13, C10BX09, C10BA09, C10BX16, C10BX17, C10BX14, C10BA06"
Flucytosine,"J02AX01, D01AE21"
Pimozide,N05AG02
Capecitabine,L01BC06
Arbutamine,C01CA22
Quinacrine,P01AX05
Sertraline,N06AB06
Sibutramine,A08AA10
Levocabastine,"R01AC02, S01GX02"
Methyprylon,N05CE02
Trilostane,H02CA01
Heparin,"B01AB51, C05BA03, S01XA14, C05BA53, B01AB01"
Miconazole,"A07AC01, J02AB01, D01AC52, G01AF20, A01AB09, D01AC02, S02AA13, G01AF04"
Colistimethate,No ATC Code
Cefuroxime,"S01AA27, J01DC02, J01RA03"
Papaverine,"G04BE02, A03AD01, G04BE52"
Chlorpheniramine,"R06AB54, R06AB04"
Nifedipine,"C08CA55, C08GA01, C08CA05, C07FB03"
Trimethaphan,C02BA01
Atovaquone,"P01AX06, P01BB51"
Amiodarone,C01BD01
Diazoxide,"G01AE10, C02DA01, V03AH01"
Gliclazide,"A10BB09, G01AE10"
Phenacemide,N03AX07
Ambenonium,N07AA30
Proflavine,No ATC Code
Tolbutamide,"V04CA01, A10BB03, G01AE10"
Anisindione,No ATC Code
Dutasteride,"G04CB02, G04CA52"
Econazole,"G01AF05, D01AC03, G01AF20, G01AF55"
Bicalutamide,"L02BB03, L02AE51"
Rabeprazole,"A02BD12, A02BD13, A02BC54, M01AA05, A02BC04, M02AA03"
Prednicarbate,D07AC18
Proguanil,"P01BB01, P01BB51, P01BB52"
Pioglitazone,"A10BD09, A10BG03, A10BD05, A10BD06, A10BD12"
Tiludronic acid,M05BA05
Desoxycorticosterone pivalate,No ATC Code
Doxacurium,M03AC07
Carvedilol,"C07AG02, C07FX06"
Levofloxacin,"J01MA12, A02BD10, J01RA05, S01AE05"
Sulfinpyrazone,M04AB02
Cefapirin,J01DB08
Cefadroxil,J01DB05
Micafungin,J02AX05
Doxepin,"N06AA12, D04AX01"
Amifostine,V03AF05
Diclofenamide,"G01AE10, S01EC02"
Sulfoxone,J04BA03
Diphenylpyraline,"R06AA57, R06AA07"
Cloxacillin,"J01CR50, J01CF02"
Flavoxate,G04BD02
Nefazodone,N06AX06
Cefprozil,J01DC10
Desipramine,N06AA01
Candicidin,G01AA04
Sertaconazole,"G01AF19, G01AF20, D01AC14"
Thiamylal,N05CB01
Gemifloxacin,J01MA15
Bupropion,"A08AA62, N06AX12"
Trimetrexate,P01AX07
Bretylium,C01BD02
Halothane,N01AB01
Dinoprost tromethamine,No ATC Code
Chloroprocaine,N01BA04
Terazosin,G04CA03
Amdinocillin,J01CA11
Calcium chloride,"A12AA07, A11GB01, G04BA03, B05XA07"
Ofloxacin,"J01MA01, J01RA09, S01AE01, S02AA16"
Cilostazol,B01AC23
Itraconazole,J02AC02
Procarbazine,L01XB01
Arsenic trioxide,L01XX27
Guanethidine,"S01EX01, C02CC02, C02LF01"
Moclobemide,N06AG02
Kanamycin,"S01AA24, J01GB04, A07AA08"
Orphenadrine,"M03BC51, N04AB02, M03BC01"
Phenobarbital,"N05CB01, N03AA02"
Escitalopram,N06AB10
Cyclizine,"R06AE03, R06AE53"
Idarubicin,L01DB06
Chlormezanone,"M03BB02, M03BB72, M03BB52"
Podofilox,D06BB04
Rescinnamine,"C02LA52, C02LA02, C02AA01"
Ifosfamide,L01AA06
Propafenone,C01BC03
Naloxone,"A06AH04, N02AA53, V03AB15, N02AA55, N02AX51"
Domperidone,A03FA03
Fluoxymesterone,G03BA01
Pergolide,N04BC02
Iophendylate,V08AD04
Ciclopirox,"D01AE14, G01AX12"
Desflurane,N01AB07
Clindamycin,"D10AF01, J01FF01, D10AF51, G01AA10"
Dexfenfluramine,A08AA04
Oxymorphone,N02AA11
Acebutolol,"C07AB04, C07BB04"
Brinzolamide,"S01EC54, S01EC04, G01AE10"
Flecainide,C01BC04
Estramustine,L01XX11
Captopril,"C09AA01, C09BA01"
Zopiclone,N05CF01
Tubocurarine,M03AA02
Bromocriptine,"N04BC01, G02CB01"
Rifapentine,J04AB05
Levetiracetam,N03AX14
Nadolol,"C07BA12, C07AA12"
Mitoxantrone,L01DB07
Flumazenil,V03AB25
Lomustine,L01AD02
Ridogrel,No ATC Code
Sparfloxacin,J01MA09
Dezocine,N02AX03
Levobunolol,S01ED03
Clarithromycin,"A02BD12, A02BD14, A02BD07, A02BD04, A02BD09, A02BD05, J01FA09, A02BD06, A02BD11"
Ceftriaxone,"J01DD04, J01DD54"
Fomepizole,V03AB34
Metipranolol,"S01ED54, C07BA68, S01ED04"
Estazolam,N05CD04
Finasteride,"D11AX10, G04CA55, G04CA51, G04CB51, G04CB01"
Anastrozole,L02BG03
Halofantrine,P01BX01
Dantrolene,M03CA01
Rifaximin,"A07AA11, D06AX11"
Ketamine,N01AX03
Budesonide,"R03AL11, D07AC09, R01AD05, R03AK07, A07EA06, R03BA02, R03AK12"
Aminophylline,"R03DA55, R03DA05, R03DA20, R03DB05"
Quetiapine,N05AH04
Enoxaparin,B01AB05
Mivacurium,M03AC10
Levacetylmethadol,N07BC03
Encainide,C01BC08
Paclitaxel,"L01CD01, L01CD51"
Pemoline,N06BA05
Diphenidol,No ATC Code
Saquinavir,J05AE01
Metoclopramide,A03FA01
Dexamethasone,"R01AD53, D07XB05, R01AD03, D10AA03, S01CB01, S02CA06, S03CA01, C05AA09, S01CA01, D07CB04, H02AB02, S01BA01, A01AC02, S03BA01, D07AB19, S02BA06"
Levodopa,"N04BA03, N04BA01, N04BA02"
Sevoflurane,N01AB08
Bromodiphenhydramine,R06AA01
Aripiprazole,N05AX12
Chlorprothixene,N05AF03
Epoprostenol,B01AC09
Gemfibrozil,C10AB04
Clomipramine,N06AA04
Chloroxine,No ATC Code
Bepridil,C08EA02
Decamethonium,No ATC Code
Alimemazine,R06AD01
Isocarboxazid,N06AF01
Docetaxel,L01CD02
Iodixanol,V08AB09
Olsalazine,A07EC03
Gliquidone,A10BB08
Mitiglinide,A10BX08
Ergometrine,G02AB03
Dasatinib,L01EA02
Lisdexamfetamine,N06BA12
Retapamulin,D06AX13
Eculizumab,L04AA25
Lapatinib,L01EH01
Desonide,"S01BA11, D07BB02, D07AB08"
Sitagliptin,"A10BH51, A10BD24, A10BD07, A10BH01, A10BD12"
Decitabine,L01BC08
Posaconazole,J02AC04
Darunavir,"J05AR14, G01AE10, J05AR22, J05AR26, J05AE10"
Telbivudine,J05AF11
Sinecatechins,D06BB12
Paliperidone,N05AX13
Sunitinib,L01EX01
Panitumumab,L01FE02
Ranibizumab,S01LA04
Idursulfase,A16AB09
Alglucosidase alfa,A16AB07
Varenicline,"S01XA28, N07BA03"
Arformoterol,No ATC Code
Hydralazine,"C02DB02, C02LG02"
Exenatide,A10BJ01
Mecasermin,H01AC03
Pramlintide,A10BX05
Galsulfase,A16AB08
Nelarabine,L01BB07
Abatacept,L04AA24
Carbetocin,H01BB03
Lumiracoxib,M01AH06
Tetracosactide,H01AA02
Corticotropin,H01AA01
Fenoterol,"R03CC04, R03AL01, G02CA03, R03AC04"
Glisoxepide,A10BB11
Pirbuterol,"R03CC07, R03AC08"
Bismuth subsalicylate,No ATC Code
Bevantolol,"C07AB06, C07BB06"
Glucosamine,M01AX05
Practolol,C07AB01
Sulfacytine,G01AE10
Sulfadoxine,"P01BF09, G01AE10"
Rolitetracycline,"J01AA20, J01AA09"
Oxtriphylline,"R03DA20, R03DB02, R03DA02"
Insulin aspart,"A10AD06, A10AD05, A10AB05"
Insulin detemir,A10AE05
Insulin glulisine,A10AB06
Fosamprenavir,J05AE07
Fosphenytoin,N03AB05
Josamycin,J01FA07
Kava,No ATC Code
St. John's Wort,N06AX25
Polythiazide,"C03AA05, G01AE10, C03AB05"
Quinethazone,"G01AE10, C03BA02, C03BB02"
Cefamandole,J01DC03
Cefazolin,J01DB04
Cefonicid,J01DC06
Cefoperazone,J01DD12
Cefotetan,J01DC05
Cefoxitin,J01DC01
Ceftizoxime,J01DD07
Cefradine,J01DB09
Metocurine,No ATC Code
Pancuronium,M03AC01
Pipecuronium,M03AC06
Vecuronium,M03AC03
Cilazapril,"C09BA08, C09AA08"
Dihydroquinidine barbiturate,No ATC Code
Forasartan,No ATC Code
Tolevamer,V03AE01
Potassium cation,No ATC Code
Quinidine barbiturate,No ATC Code
Saprisartan,No ATC Code
Spirapril,C09AA11
Tasosartan,C09CA05
Amobarbital,"N05CA02, N05CB01"
Aprobarbital,N05CA05
Butobarbital,N05CA03
Heptabarbital,N05CA11
Hexobarbital,"N01AF02, N05CA16"
Lithium cation,No ATC Code
Mestranol,No ATC Code
Penbutolol,"C07CA23, C07AA23"
Iohexol,V08AB02
Ephedra sinica root,No ATC Code
Ephedrine,"S01FB02, R01AB05, C01CA26, R03CA02, A08AA56, R01AA03"
Mephentermine,C01CA11
Procaterol,"R03CC08, R03AC16"
Rasagiline,N04BD02
Quinupristin,No ATC Code
Aluminium,No ATC Code
Calcium,"M05BB01, A11AA02, M05BB08, A11GB01, M05BB02, M05BB04, M05BB05"
Aluminium monostearate,No ATC Code
Magnesium oxide,"A02AA02, A12CC10, A06AD02"
Magnesium cation,No ATC Code
Cortisone acetate,No ATC Code
Ginkgo biloba,"N06DX02, N06DA53"
Glymidine,"A10BC01, G01AE10"
Paramethasone,H02AB05
Mibefradil,C08CX01
Sodium bicarbonate,"B05CB04, B05XA02"
Yohimbine,G04BE04
Bezafibrate,C10AB02
Colchicine,M04AC01
Drospirenone,"G03AA18, G03AC10, G03FA17, G03AA12"
Digitoxin,C01AA04
Magnesium salicylate,No ATC Code
Salsalate,N02BA06
Neostigmine,"N07AA01, S01EB06, N07AA51"
Choline magnesium trisalicylate,No ATC Code
Methotrimeprazine,N05AA02
Ginseng,No ATC Code
Temafloxacin,J01MA05
Danazol,G03XA01
Clenbuterol,"R03CC13, R03AC14, R03CC63"
Bambuterol,R03CC12
Tiotropium,"R03AL06, R03BB04, R03BB54, R03AL10"
Ciclesonide,"R03BA08, R01AD13"
Pranlukast,R03DC02
Theobromine,"C03BD01, R03DA07, R03DA57"
Cefepime,"J01DE01, J01RA06"
