Drug,DrugBank ID,ATC Codes,Pathways
Glutamic acid,DB00142,A09AB01,"Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Glycine and Serine Metabolism, Tyrosine Metabolism, Ammonia Recycling, Propanoate Metabolism, Arginine and Proline Metabolism, Histidine Metabolism, Purine Metabolism, Glutamate Metabolism, Etodolac Action Pathway, Ketoprofen Action Pathway, Ibuprofen Action Pathway, Celecoxib Action Pathway, Suprofen Action Pathway, Indomethacin Action Pathway, 2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Glutaric Aciduria Type I, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Histidinemia, Purine Nucleoside Phosphorylase Deficiency, Sialuria or French Type Sialuria, Sialuria or French Type Sialuria, Tyrosinemia Type I, Saccharopinuria/Hyperlysinemia II, Salla Disease/Infantile Sialic Acid Storage Disease, Diflunisal Action Pathway, Hyperinsulinism-Hyperammonemia Syndrome"
Glutathione,DB00143,V03AB32,"Piroxicam Action Pathway, Rofecoxib Action Pathway, Diclofenac Action Pathway, Sulindac Action Pathway, Nabumetone Action Pathway, Valdecoxib Action Pathway, 2-Hydroxyglutric Aciduria (D and L Form), gamma-Glutamyltransferase Deficiency, 4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency, 5-Oxoprolinase Deficiency, Succinic Semialdehyde Dehydrogenase Deficiency, Antipyrine Action Pathway, Flurbiprofen Action Pathway, Nepafenac Action Pathway, Glutathione Metabolism, Arachidonic Acid Metabolism, Acetylsalicylic Acid Action Pathway, Ketorolac Action Pathway, Bromfenac Action Pathway, Meloxicam Action Pathway, Mefenamic Acid Action Pathway, Oxaprozin Action Pathway, Naproxen Action Pathway, 5-Oxoprolinuria, Glutathione Synthetase Deficiency, Homocarnosinosis, Cyclophosphamide Action Pathway, Pyruvate Kinase Deficiency, Cyclophosphamide Metabolism Pathway, Acetaminophen Metabolism Pathway"
Phosphatidyl serine,DB00144,No ATC Code,"Phosphatidylcholine Biosynthesis PC(14:0/14:0), Phosphatidylcholine Biosynthesis PC(14:0/15:0), Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:0), Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z)), Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z)), Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/14:0), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:0), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/18:3(9Z,12Z,15Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/22:2(13Z,16Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/24:0), Phosphatidylcholine Biosynthesis PC(15:0/14:0), Phosphatidylcholine Biosynthesis PC(15:0/16:0), Phosphatidylcholine Biosynthesis PC(15:0/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(15:0/18:0), Phosphatidylcholine Biosynthesis PC(15:0/20:1(11Z)), Phosphatidylcholine Biosynthesis PC(15:0/20:3(8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(15:0/20:4(5Z,8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(15:0/22:0), Phosphatidylcholine Biosynthesis PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), Phosphatidylcholine Biosynthesis PC(16:0/14:0), Phosphatidylcholine Biosynthesis PC(16:0/14:1(9Z)), Phosphatidylcholine Biosynthesis PC(16:0/16:0), Phosphatidylcholine Biosynthesis PC(16:0/18:1(9Z))"
Glycine,DB00145,B05CX03,"Glycine and Serine Metabolism, Ammonia Recycling, Arginine and Proline Metabolism, Porphyrin Metabolism, Purine Metabolism, Glutamate Metabolism, Cystathionine beta-Synthase Deficiency, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Purine Nucleoside Phosphorylase Deficiency, Congenital Bile Acid Synthesis Defect Type II, Hyperinsulinism-Hyperammonemia Syndrome, Hyperprolinemia Type II, Hyperprolinemia Type I, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Carnitine Synthesis, gamma-Glutamyltranspeptidase Deficiency, L-Arginine:Glycine Amidinotransferase Deficiency, Adenine Phosphoribosyltransferase Deficiency (APRT), 27-Hydroxylase Deficiency, Sarcosine Oncometabolite Pathway, Methionine Metabolism, Bile Acid Biosynthesis, 2-Hydroxyglutric Aciduria (D and L Form), Adenosine Deaminase Deficiency, AICA-Ribosiduria, gamma-Glutamyltransferase Deficiency, Molybdenum Cofactor Deficiency, Prolidase Deficiency (PD)"
Calcifediol,DB00146,"A11CC06, H05BX05",No Pathways
Pyridoxal,DB00147,No ATC Code,"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Isovaleric Acidemia, Vitamin B6 Metabolism, 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Methylmalonic Aciduria, Hypophosphatasia, Isobutyryl-CoA Dehydrogenase Deficiency, Valine, Leucine, and Isoleucine Degradation, 3-Methylglutaconic Aciduria Type III, 3-Methylglutaconic Aciduria Type IV, Maple Syrup Urine Disease, Propionic Acidemia, 3-Methylcrotonyl-CoA Carboxylase Deficiency Type I, Isovaleric Aciduria, Methylmalonate Semialdehyde Dehydrogenase Deficiency, 3-Hydroxyisobutyric Acid Dehydrogenase Deficiency, 3-Hydroxyisobutyric Aciduria"
Creatine,DB00148,No ATC Code,"Glycine and Serine Metabolism, Arginine and Proline Metabolism, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Hyperprolinemia Type II, Hyperprolinemia Type I, L-Arginine:Glycine Amidinotransferase Deficiency, Prolidase Deficiency (PD), Prolinemia Type II, Non-Ketotic Hyperglycinemia, Sarcosinemia, Ornithine Aminotransferase Deficiency (OAT Deficiency), Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome], Dihydropyrimidine Dehydrogenase Deficiency (DHPD), Dimethylglycine Dehydrogenase Deficiency, Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Dimethylglycine Dehydrogenase Deficiency, Hyperglycinemia, Non-Ketotic, Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency, Hyperornithinemia with Gyrate Atrophy (HOGA), 3-Phosphoglycerate Dehydrogenase Deficiency"
Leucine,DB00149,No ATC Code,"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Isovaleric Acidemia, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, Glutaminolysis and Cancer, 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Methylmalonic Aciduria, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway, Lymecycline Action Pathway, Isobutyryl-CoA Dehydrogenase Deficiency, Tigecycline Action Pathway, Paromomycin Action Pathway, Methacycline Action Pathway, Lincomycin Action Pathway, Chloramphenicol Action Pathway, Valine, Leucine, and Isoleucine Degradation, 3-Methylglutaconic Aciduria Type III"
Tryptophan,DB00150,N06AX02,Tryptophan Metabolism
Cysteine,DB00151,No ATC Code,"Glycine and Serine Metabolism, Taurine and Hypotaurine Metabolism, Glutamate Metabolism, Polythiazide Action Pathway, Bumetanide Action Pathway, Quinethazone Action Pathway, Indapamide Action Pathway, Trichlormethiazide Action Pathway, Spironolactone Action Pathway, Eplerenone Action Pathway, Cystathionine beta-Synthase Deficiency, Hyperinsulinism-Hyperammonemia Syndrome, gamma-Glutamyltranspeptidase Deficiency, Pantothenate and CoA Biosynthesis, Methionine Metabolism, Chlorothiazide Action Pathway, Bendroflumethiazide Action Pathway, Ethacrynic Acid Action Pathway, Cyclothiazide Action Pathway, Hydroflumethiazide Action Pathway, Chlorthalidone Action Pathway, Amiloride Action Pathway, 2-Hydroxyglutric Aciduria (D and L Form), gamma-Glutamyltransferase Deficiency, Glucose Transporter Defect (SGLT2), Iminoglycinuria, Methionine Adenosyltransferase Deficiency, Non-Ketotic Hyperglycinemia, 4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency, Sarcosinemia"
Thiamine,DB00152,A11DA01,Thiamine Metabolism
Ergocalciferol,DB00153,A11CC01,No Pathways
Dihomo-gamma-linolenic acid,DB00154,No ATC Code,Alpha Linolenic Acid and Linoleic Acid Metabolism
Citrulline,DB00155,No ATC Code,"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency, Hyperornithinemia with Gyrate Atrophy (HOGA), Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Arginine and Proline Metabolism, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Hyperprolinemia Type II, Hyperprolinemia Type I, L-Arginine:Glycine Amidinotransferase Deficiency, Citrullinemia Type I, Urea Cycle, Aspartate Metabolism, Canavan Disease, Hypoacetylaspartia, Ornithine Transcarbamylase Deficiency (OTC Deficiency), Prolidase Deficiency (PD), Prolinemia Type II, Argininemia, Ornithine Aminotransferase Deficiency (OAT Deficiency), Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome], Nitric Oxide Signaling Pathway"
Threonine,DB00156,No ATC Code,"Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, Azithromycin Action Pathway, Clindamycin Action Pathway, Erythromycin Action Pathway, Kanamycin Action Pathway, Neomycin Action Pathway, Netilmicin Action Pathway, Streptomycin Action Pathway, Clomocycline Action Pathway, Threonine and 2-Oxobutanoate Degradation, Tobramycin Action Pathway, Rolitetracycline Action Pathway, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway, Lymecycline Action Pathway, Tigecycline Action Pathway, Paromomycin Action Pathway, Methacycline Action Pathway, Lincomycin Action Pathway"
NADH,DB00157,No ATC Code,"Nucleotide Sugars Metabolism, Cysteine Metabolism, Caffeine Metabolism, Valine, Leucine, and Isoleucine Degradation, Lysine Degradation, Glycolysis, Folate Metabolism, Tryptophan Metabolism, Fructose and Mannose Degradation, Androgen and Estrogen Metabolism, Glycerol Phosphate Shuttle, Malate-Aspartate Shuttle, 3-Methylglutaconic Aciduria Type III, 3-Methylglutaconic Aciduria Type IV, Adenylosuccinate Lyase Deficiency, Dihydropyrimidine Dehydrogenase Deficiency (DHPD), Ethylmalonic Encephalopathy, Glutaric Aciduria Type I, Glycerol Kinase Deficiency, Maple Syrup Urine Disease, Methylmalonic Aciduria Due to Cobalamin-Related Disorders, S-Adenosylhomocysteine (SAH) Hydrolase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Glycine N-Methyltransferase Deficiency, Short-Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency), Propionic Acidemia, 3-Methylcrotonyl-CoA Carboxylase Deficiency Type I, Isovaleric Aciduria, Dimethylglycine Dehydrogenase Deficiency, Zellweger Syndrome"
Folic acid,DB00158,"B03AE02, B03AD04, V04CX02, B03AD01, B03BB51, B03AD03, B03BB01, B03AE01, B03AD05, B03AD02","Methylenetetrahydrofolate Reductase Deficiency (MTHFRD), Folate Metabolism, Methotrexate Action Pathway, Folate Malabsorption, Hereditary"
Icosapent,DB00159,No ATC Code,Alpha Linolenic Acid and Linoleic Acid Metabolism
Alanine,DB00160,No ATC Code,"Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Glycine and Serine Metabolism, Selenoamino Acid Metabolism, Glutamate Metabolism, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Hyperinsulinism-Hyperammonemia Syndrome, gamma-Glutamyltranspeptidase Deficiency, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, Glutaminolysis and Cancer, Glutathione Metabolism, Alanine Metabolism, Tryptophan Metabolism, 5-Oxoprolinuria, Dihydropyrimidine Dehydrogenase Deficiency (DHPD), Dimethylglycine Dehydrogenase Deficiency, Azithromycin Action Pathway, Clindamycin Action Pathway, Erythromycin Action Pathway, Kanamycin Action Pathway, Neomycin Action Pathway, Netilmicin Action Pathway, Streptomycin Action Pathway, Clomocycline Action Pathway"
Valine,DB00161,No ATC Code,"Propanoate Metabolism, 2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Isovaleric Acidemia, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Malonic Aciduria, Methylmalonic Aciduria, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway, Lymecycline Action Pathway, Isobutyryl-CoA Dehydrogenase Deficiency, Tigecycline Action Pathway, Paromomycin Action Pathway, Methacycline Action Pathway, Lincomycin Action Pathway, Chloramphenicol Action Pathway, Valine, Leucine, and Isoleucine Degradation"
Vitamin A,DB00162,"S01XA02, V04CB01, D10AD02, R01AX02, A11CA01","Retinol Metabolism, Vitamin A Deficiency"
Vitamin E,DB00163,No ATC Code,No Pathways
Pyridoxine,DB00165,"J04AM08, A11HA02","Vitamin B6 Metabolism, Hypophosphatasia"
Lipoic acid,DB00166,A16AX01,No Pathways
Isoleucine,DB00167,No ATC Code,"2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Isovaleric Acidemia, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Methylmalonic Aciduria, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway, Lymecycline Action Pathway, Isobutyryl-CoA Dehydrogenase Deficiency, Tigecycline Action Pathway, Paromomycin Action Pathway, Methacycline Action Pathway, Lincomycin Action Pathway, Chloramphenicol Action Pathway, Valine, Leucine, and Isoleucine Degradation, 3-Methylglutaconic Aciduria Type III, 3-Methylglutaconic Aciduria Type IV"
Aspartame,DB00168,No ATC Code,No Pathways
Cholecalciferol,DB00169,"M05BB09, M05BX53, M05BB07, M05BB08, A11CC55, M05BB05, A11CC05, M05BB03, M05BB04","Lovastatin Action Pathway, Cerivastatin Action Pathway, Hypercholesterolemia, Chondrodysplasia Punctata II, X-Linked Dominant (CDPX2), Smith-Lemli-Opitz Syndrome (SLOS), Mevalonic Aciduria, Simvastatin Action Pathway, Pravastatin Action Pathway, Rosuvastatin Action Pathway, Zoledronate Action Pathway, Pamidronate Action Pathway, Fluvastatin Action Pathway, Lysosomal Acid Lipase Deficiency (Wolman Disease), Cholesteryl Ester Storage Disease, Steroid Biosynthesis, Ibandronate Action Pathway, Alendronate Action Pathway, Risedronate Action Pathway, Atorvastatin Action Pathway, Desmosterolosis, CHILD Syndrome, Hyper-IgD Syndrome, Wolman Disease"
Menadione,DB00170,B02BA02,No Pathways
ATP,DB00171,No ATC Code,"Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Glycine and Serine Metabolism, Ammonia Recycling, Inositol Metabolism, Propanoate Metabolism, Arginine and Proline Metabolism, Selenoamino Acid Metabolism, Pentose Phosphate Pathway, Glycerolipid Metabolism, Galactose Metabolism, Histidine Metabolism, Pyrimidine Metabolism, Purine Metabolism, Fatty Acid Metabolism, Citric Acid Cycle, Starch and Sucrose Metabolism, Pyruvate Metabolism, Glutamate Metabolism, Butyrate Metabolism, Thiamine Metabolism, Simvastatin Action Pathway, Pravastatin Action Pathway, Rosuvastatin Action Pathway, Zoledronate Action Pathway, Pamidronate Action Pathway, Fluvastatin Action Pathway, Betaine Metabolism, Gluconeogenesis, 2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency"
Proline,DB00172,No ATC Code,"Arginine and Proline Metabolism, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Hyperprolinemia Type II, Hyperprolinemia Type I, L-Arginine:Glycine Amidinotransferase Deficiency, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, The Oncogenic Action of Succinate, Azithromycin Action Pathway, Clindamycin Action Pathway, Erythromycin Action Pathway, Kanamycin Action Pathway, Neomycin Action Pathway, Netilmicin Action Pathway, Streptomycin Action Pathway, Clomocycline Action Pathway, Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency, Hyperornithinemia with Gyrate Atrophy (HOGA), Tobramycin Action Pathway, Rolitetracycline Action Pathway, The Oncogenic Action of Fumarate, Prolidase Deficiency (PD), Prolinemia Type II"
Adenine,DB00173,No ATC Code,"Adenylosuccinate Lyase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Xanthinuria Type I, Mitochondrial DNA Depletion Syndrome, Myoadenylate Deaminase Deficiency, Purine Metabolism, Purine Nucleoside Phosphorylase Deficiency, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Adenine Phosphoribosyltransferase Deficiency (APRT), Adenosine Deaminase Deficiency, AICA-Ribosiduria, Molybdenum Cofactor Deficiency, Azathioprine Action Pathway, Thioguanine Action Pathway, Xanthinuria Type II"
Asparagine,DB00174,No ATC Code,"Ammonia Recycling, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, Azithromycin Action Pathway, Clindamycin Action Pathway, Erythromycin Action Pathway, Kanamycin Action Pathway, Neomycin Action Pathway, Netilmicin Action Pathway, Streptomycin Action Pathway, Clomocycline Action Pathway, Tobramycin Action Pathway, Rolitetracycline Action Pathway, Aspartate Metabolism, Canavan Disease, Hypoacetylaspartia, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway, Lymecycline Action Pathway, Tigecycline Action Pathway"
Pravastatin,DB00175,"C10AA03, C10BA11, C10BA03, C10BA12, C10BX02",Pravastatin Action Pathway
Fluvoxamine,DB00176,N06AB08,No Pathways
Valsartan,DB00177,"C09DX05, C10BX10, C09DA03, C09CA03, C09DX02, C09DX01, C09DB08, C09DB01, C09DX04",Valsartan Action Pathway
Ramipril,DB00178,"C09BX03, C10BX04, C09BB05, C09AA05, C10BX18, C10BX17, C09BB07, C09BX05, C10BX06, C09BA05","Ramipril Action Pathway, Ramipril Metabolism Pathway"
Masoprocol,DB00179,L01XX10,No Pathways
Flunisolide,DB00180,"R01AD04, R03BA03",No Pathways
Baclofen,DB00181,M03BX01,No Pathways
Amphetamine,DB00182,N06BA01,No Pathways
Pentagastrin,DB00183,V04CG04,No Pathways
Nicotine,DB00184,N07BA01,"Nicotine Action Pathway, Nicotine Metabolism Pathway"
Cevimeline,DB00185,N07AX03,No Pathways
Lorazepam,DB00186,"N05BA56, N05BA06",No Pathways
Esmolol,DB00187,C07AB09,Esmolol Action Pathway
Bortezomib,DB00188,L01XG01,No Pathways
Ethchlorvynol,DB00189,N05CM08,No Pathways
Carbidopa,DB00190,No ATC Code,No Pathways
Phentermine,DB00191,"A08AA01, A08AA51",No Pathways
Indecainide,DB00192,No ATC Code,No Pathways
Tramadol,DB00193,"N02AJ16, N02AJ13, N02AJ14, N02AX02","Tramadol Action Action Pathway, Tramadol Metabolism Pathway"
Vidarabine,DB00194,"J05AB03, S01AD06",No Pathways
Betaxolol,DB00195,"S01ED02, C07AB05, S01ED52",Betaxolol Action Pathway
Fluconazole,DB00196,"J01RA07, J02AC01, D01AC15",No Pathways
Troglitazone,DB00197,A10BG01,No Pathways
Oseltamivir,DB00198,J05AH02,No Pathways
Erythromycin,DB00199,"J01FA01, D10AF02, S01AA17, D10AF52",Erythromycin Action Pathway
Hydroxocobalamin,DB00200,"B03BA53, V03AB33, B03BA03",No Pathways
Caffeine,DB00201,"D11AX26, R03DA20, V04CG30, N06BC01",Caffeine Metabolism
Succinylcholine,DB00202,M03AB01,No Pathways
Sildenafil,DB00203,"G01AE10, G04BE03",No Pathways
Dofetilide,DB00204,C01BD04,No Pathways
Pyrimethamine,DB00205,"P01BF09, P01BD01, P01BD51, P01BF04",No Pathways
Reserpine,DB00206,"C02LA51, C02AA02, C02LA01, C02LA71, C02AA52",No Pathways
Azithromycin,DB00207,"J01RA07, S01AA26, J01FA10, J01RA16",Azithromycin Action Pathway
Ticlopidine,DB00208,B01AC05,"Ticlopidine Action Pathway, Ticlopidine Metabolism Pathway"
